  t(ticks) ;   id_viat ;   destino ;   t_estac ;   t_vida ;   observs
   1810402 ;       248 ;         E ;    100000 ;    39081 ; Saiu!
   1811518 ;       253 ;         W ;     40000 ;        ? ;   Entrou!
   1815326 ;       252 ;         E ;     40000 ;    13846 ; Saiu!
   1821556 ;       254 ;         S ;     70000 ;        ? ;   Entrou!
   1821583 ;       255 ;         E ;     50000 ;        ? ;   Entrou!
   1826753 ;       253 ;         W ;     40000 ;    15235 ; Saiu!
   1826808 ;       251 ;         E ;     70000 ;    31622 ; Saiu!
   1841634 ;       256 ;         E ;     40000 ;        ? ;   Entrou!
   1845996 ;       255 ;         E ;     50000 ;    24413 ; Saiu!
   1851677 ;       254 ;         S ;     70000 ;    30121 ; Saiu!
   1852668 ;       257 ;         W ;     90000 ;        ? ;   Entrou!
   1860483 ;       256 ;         E ;     40000 ;    18849 ; Saiu!
   1871753 ;       258 ;         W ;     40000 ;        ? ;   Entrou!
   1891791 ;       259 ;         E ;     90000 ;        ? ;   Entrou!
   1891833 ;       260 ;         S ;     30000 ;        ? ;   Entrou!
   1897124 ;       258 ;         W ;     40000 ;    25371 ; Saiu!
   1900305 ;       257 ;         W ;     90000 ;    47637 ; Saiu!
   1904857 ;       260 ;         S ;     30000 ;    13024 ; Saiu!
   1911853 ;       261 ;         W ;     70000 ;        ? ;   Entrou!
   1921885 ;       262 ;         E ;     80000 ;        ? ;   Entrou!
   1932231 ;       259 ;         E ;     90000 ;    40440 ; Saiu!
   1941917 ;       263 ;         W ;     30000 ;        ? ;   Entrou!
   1941951 ;       264 ;         W ;     20000 ;        ? ;   Entrou!
   1942049 ;       266 ;         N ;     10000 ;        ? ;   Entrou!
   1942864 ;       261 ;         W ;     70000 ;    31011 ; Saiu!
   1945434 ;       266 ;         N ;     10000 ;     3385 ; Saiu!
   1941990 ;       265 ;         W ;     60000 ;        ? ;   Entrou!
   1948855 ;       264 ;         W ;     20000 ;     6904 ; Saiu!
   1951478 ;       263 ;         W ;     30000 ;     9561 ; Saiu!
   1954652 ;       262 ;         E ;     80000 ;    32767 ; Saiu!
   1962079 ;       267 ;         S ;     60000 ;        ? ;   Entrou!
   1978447 ;       265 ;         W ;     60000 ;    36457 ; Saiu!
   1982124 ;       268 ;         E ;     20000 ;        ? ;   Entrou!
   1982155 ;       269 ;         E ;     20000 ;        ? ;   Entrou!
   1982193 ;       270 ;         W ;     10000 ;        ? ;   Entrou!
   1987644 ;       270 ;         W ;     10000 ;     5451 ; Saiu!
   1989193 ;       268 ;         E ;     20000 ;     7069 ; Saiu!
   1989317 ;       269 ;         E ;     20000 ;     7162 ; Saiu!
   1992207 ;       271 ;         N ;    100000 ;        ? ;   Entrou!
   1992231 ;       272 ;         S ;     70000 ;        ? ;   Entrou!
   1992263 ;       273 ;         W ;     20000 ;        ? ;   Entrou!
   1994727 ;       267 ;         S ;     60000 ;    32648 ; Saiu!
   2001333 ;       273 ;         W ;     20000 ;     9070 ; Saiu!
   2012298 ;       274 ;         W ;     30000 ;        ? ;   Entrou!
   2012333 ;       275 ;         N ;     80000 ;        ? ;   Entrou!
   2020258 ;       272 ;         S ;     70000 ;    28027 ; Saiu!
   2022386 ;       276 ;         N ;     30000 ;        ? ;   Entrou!
   2029005 ;       274 ;         W ;     30000 ;    16707 ; Saiu!
   2031500 ;       271 ;         N ;    100000 ;    39293 ; Saiu!
   2037750 ;       276 ;         N ;     30000 ;    15364 ; Saiu!
   2042425 ;       277 ;         E ;     40000 ;        ? ;   Entrou!
   2042469 ;       278 ;         S ;     40000 ;        ? ;   Entrou!
   2045726 ;       275 ;         N ;     80000 ;    33393 ; Saiu!
   2053472 ;       279 ;         E ;     40000 ;        ? ;   Entrou!
   2058740 ;       277 ;         E ;     40000 ;    16315 ; Saiu!
   2058853 ;       278 ;         S ;     40000 ;    16384 ; Saiu!
   2072535 ;       280 ;         E ;     70000 ;        ? ;   Entrou!
   2078718 ;       279 ;         E ;     40000 ;    25246 ; Saiu!
   2092568 ;       281 ;         E ;     10000 ;        ? ;   Entrou!
   2092614 ;       282 ;         S ;    100000 ;        ? ;   Entrou!
   2096220 ;       281 ;         E ;     10000 ;     3652 ; Saiu!
   2112643 ;       283 ;         N ;     80000 ;        ? ;   Entrou!
   2113625 ;       280 ;         E ;     70000 ;    41090 ; Saiu!
   2112688 ;       284 ;         N ;     10000 ;        ? ;   Entrou!
   2112729 ;       285 ;         E ;     50000 ;        ? ;   Entrou!
   2112811 ;       286 ;         W ;     40000 ;        ? ;   Entrou!
   2112926 ;       287 ;         E ;     20000 ;        ? ;   Entrou!
   2120292 ;       284 ;         N ;     10000 ;     7604 ; Saiu!
   2122404 ;       287 ;         E ;     20000 ;     9478 ; Saiu!
   2127467 ;       285 ;         E ;     50000 ;    14738 ; Saiu!
   2127568 ;       286 ;         W ;     40000 ;    14757 ; Saiu!
   2129547 ;       282 ;         S ;    100000 ;    36933 ; Saiu!
   2132904 ;       288 ;         E ;     10000 ;        ? ;   Entrou!
   2137738 ;       288 ;         E ;     10000 ;     4834 ; Saiu!
   2142945 ;       289 ;         N ;     40000 ;        ? ;   Entrou!
   2144773 ;       283 ;         N ;     80000 ;    32130 ; Saiu!
   2162983 ;       290 ;         S ;    100000 ;        ? ;   Entrou!
   2172368 ;       289 ;         N ;     40000 ;    29423 ; Saiu!
   2173005 ;       291 ;         E ;     50000 ;        ? ;   Entrou!
   2193037 ;       292 ;         W ;     20000 ;        ? ;   Entrou!
   2196903 ;       291 ;         E ;     50000 ;    23898 ; Saiu!
   2201462 ;       292 ;         W ;     20000 ;     8425 ; Saiu!
   2213075 ;       293 ;         E ;     40000 ;        ? ;   Entrou!
   2218304 ;       290 ;         S ;    100000 ;    55321 ; Saiu!
   2233149 ;       294 ;         E ;     50000 ;        ? ;   Entrou!
   2240917 ;       293 ;         E ;     40000 ;    27842 ; Saiu!
   2253147 ;       295 ;         W ;     70000 ;        ? ;   Entrou!
   2253316 ;       296 ;         W ;     80000 ;        ? ;   Entrou!
   2259170 ;       294 ;         E ;     50000 ;    26021 ; Saiu!
   2273235 ;       297 ;         W ;    100000 ;        ? ;   Entrou!
   2273270 ;       298 ;         N ;     80000 ;        ? ;   Entrou!
   2273304 ;       299 ;         S ;     20000 ;        ? ;   Entrou!
   2277206 ;       295 ;         W ;     70000 ;    24059 ; Saiu!
   2278580 ;       296 ;         W ;     80000 ;    25264 ; Saiu!
   2279788 ;       299 ;         S ;     20000 ;     6484 ; Saiu!
   2284433 ;       300 ;         N ;     90000 ;        ? ;   Entrou!
   2296967 ;       298 ;         N ;     80000 ;    23697 ; Saiu!
   2303370 ;       301 ;         W ;     40000 ;        ? ;   Entrou!
   2303413 ;       302 ;         E ;     30000 ;        ? ;   Entrou!
   2303449 ;       303 ;         W ;     20000 ;        ? ;   Entrou!
   2308316 ;       297 ;         W ;    100000 ;    35081 ; Saiu!
   2310321 ;       303 ;         W ;     20000 ;     6872 ; Saiu!
   2312987 ;       302 ;         E ;     30000 ;     9574 ; Saiu!
   2315746 ;       300 ;         N ;     90000 ;    31313 ; Saiu!
   2317911 ;       301 ;         W ;     40000 ;    14541 ; Saiu!
   2323485 ;       304 ;         S ;     20000 ;        ? ;   Entrou!
   2333548 ;       305 ;         N ;     70000 ;        ? ;   Entrou!
   2333592 ;       306 ;         W ;     60000 ;        ? ;   Entrou!
   2333628 ;       307 ;         W ;     10000 ;        ? ;   Entrou!
   2333675 ;       308 ;         E ;     60000 ;        ? ;   Entrou!
   2340996 ;       304 ;         S ;     20000 ;    17511 ; Saiu!
   2341028 ;       307 ;         W ;     10000 ;     7400 ; Saiu!
   2353716 ;       309 ;         E ;     50000 ;        ? ;   Entrou!
   2353752 ;       310 ;         S ;     50000 ;        ? ;   Entrou!
   2353836 ;       311 ;         E ;     40000 ;        ? ;   Entrou!
   2357359 ;       306 ;         W ;     60000 ;    23767 ; Saiu!
   2357405 ;       308 ;         E ;     60000 ;    23730 ; Saiu!
   2357439 ;       305 ;         N ;     70000 ;    23891 ; Saiu!
   2363871 ;       312 ;         E ;     30000 ;        ? ;   Entrou!
   2369297 ;       309 ;         E ;     50000 ;    15581 ; Saiu!
   2369393 ;       310 ;         S ;     50000 ;    15641 ; Saiu!
   2370792 ;       311 ;         E ;     40000 ;    16956 ; Saiu!
   2383919 ;       313 ;         N ;     20000 ;        ? ;   Entrou!
   2383988 ;       314 ;         W ;    100000 ;        ? ;   Entrou!
   2385154 ;       316 ;         S ;     90000 ;        ? ;   Entrou!
   2384025 ;       315 ;         N ;     60000 ;        ? ;   Entrou!
   2390379 ;       312 ;         E ;     30000 ;    26508 ; Saiu!
   2390404 ;       313 ;         N ;     20000 ;     6485 ; Saiu!
   2404075 ;       317 ;         S ;    100000 ;        ? ;   Entrou!
   2407509 ;       315 ;         N ;     60000 ;    23484 ; Saiu!
   2413884 ;       316 ;         S ;     90000 ;    28730 ; Saiu!
   2413945 ;       318 ;         E ;     40000 ;        ? ;   Entrou!
   2414119 ;       319 ;         E ;     10000 ;        ? ;   Entrou!
   2416891 ;       319 ;         E ;     10000 ;     2772 ; Saiu!
   2414655 ;       320 ;         E ;     60000 ;        ? ;   Entrou!
   2422770 ;       314 ;         W ;    100000 ;    38782 ; Saiu!
   2427595 ;       318 ;         E ;     40000 ;    13650 ; Saiu!
   2434175 ;       321 ;         W ;     80000 ;        ? ;   Entrou!
   2434205 ;       322 ;         E ;     50000 ;        ? ;   Entrou!
   2435591 ;       323 ;         N ;     70000 ;        ? ;   Entrou!
   2439027 ;       317 ;         S ;    100000 ;    34952 ; Saiu!
   2439047 ;       320 ;         E ;     60000 ;    24392 ; Saiu!
   2452498 ;       322 ;         E ;     50000 ;    18293 ; Saiu!
   2454249 ;       324 ;         W ;     80000 ;        ? ;   Entrou!
   2459579 ;       321 ;         W ;     80000 ;    25404 ; Saiu!
   2461741 ;       323 ;         N ;     70000 ;    26150 ; Saiu!
   2464278 ;       325 ;         E ;     40000 ;        ? ;   Entrou!
   2464301 ;       326 ;         W ;     30000 ;        ? ;   Entrou!
   2464334 ;       327 ;         S ;     40000 ;        ? ;   Entrou!
   2464360 ;       328 ;         N ;     60000 ;        ? ;   Entrou!
   2473039 ;       326 ;         W ;     30000 ;     8738 ; Saiu!
   2473066 ;       325 ;         E ;     40000 ;     8788 ; Saiu!
   2474411 ;       329 ;         N ;     80000 ;        ? ;   Entrou!
   2476937 ;       327 ;         S ;     40000 ;    12603 ; Saiu!
   2478389 ;       324 ;         W ;     80000 ;    24140 ; Saiu!
   2484475 ;       330 ;         W ;     30000 ;        ? ;   Entrou!
   2484589 ;       331 ;         N ;    100000 ;        ? ;   Entrou!
   2484646 ;       332 ;         E ;     20000 ;        ? ;   Entrou!
   2487983 ;       328 ;         N ;     60000 ;    23623 ; Saiu!
   2489853 ;       332 ;         E ;     20000 ;     5207 ; Saiu!
   2492821 ;       330 ;         W ;     30000 ;     8346 ; Saiu!
   2494683 ;       333 ;         S ;     30000 ;        ? ;   Entrou!
   2494722 ;       334 ;         W ;     60000 ;        ? ;   Entrou!
   2494817 ;       335 ;         E ;     40000 ;        ? ;   Entrou!
   2504374 ;       333 ;         S ;     30000 ;     9691 ; Saiu!
   2494859 ;       336 ;         E ;     50000 ;        ? ;   Entrou!
   2507743 ;       329 ;         N ;     80000 ;    33332 ; Saiu!
   2504884 ;       337 ;         E ;     70000 ;        ? ;   Entrou!
   2504916 ;       338 ;         S ;     10000 ;        ? ;   Cheio!
   2509229 ;       335 ;         E ;     40000 ;    14412 ; Saiu!
   2509273 ;       331 ;         N ;    100000 ;    24684 ; Saiu!
   2514566 ;       334 ;         W ;     60000 ;    19844 ; Saiu!
   2514949 ;       339 ;         S ;     20000 ;        ? ;   Entrou!
   2516537 ;       336 ;         E ;     50000 ;    21678 ; Saiu!
   2524671 ;       339 ;         S ;     20000 ;     9722 ; Saiu!
   2524993 ;       340 ;         E ;     70000 ;        ? ;   Entrou!
   2533703 ;       337 ;         E ;     70000 ;    28819 ; Saiu!
   2545043 ;       341 ;         N ;     10000 ;        ? ;   Entrou!
   2550260 ;       341 ;         N ;     10000 ;     5217 ; Saiu!
   2565085 ;       342 ;         S ;     90000 ;        ? ;   Entrou!
   2573462 ;       340 ;         E ;     70000 ;    48469 ; Saiu!
   2585144 ;       343 ;         S ;     20000 ;        ? ;   Entrou!
   2585269 ;       344 ;         E ;     50000 ;        ? ;   Entrou!
   2594113 ;       343 ;         S ;     20000 ;     8969 ; Saiu!
   2605202 ;       345 ;         S ;     30000 ;        ? ;   Entrou!
   2605286 ;       347 ;         E ;     30000 ;        ? ;   Entrou!
   2605243 ;       346 ;         N ;     70000 ;        ? ;   Entrou!
   2613499 ;       344 ;         E ;     50000 ;    28230 ; Saiu!
   2613539 ;       342 ;         S ;     90000 ;    48454 ; Saiu!
   2614639 ;       345 ;         S ;     30000 ;     9437 ; Saiu!
   2617305 ;       347 ;         E ;     30000 ;    12019 ; Saiu!
   2625339 ;       348 ;         E ;     20000 ;        ? ;   Entrou!
   2635574 ;       348 ;         E ;     20000 ;    10235 ; Saiu!
   2645377 ;       349 ;         N ;    100000 ;        ? ;   Entrou!
   2645420 ;       350 ;         S ;     40000 ;        ? ;   Entrou!
   2645474 ;       351 ;         N ;    100000 ;        ? ;   Entrou!
   2645511 ;       352 ;         N ;     90000 ;        ? ;   Entrou!
   2645551 ;       353 ;         W ;     80000 ;        ? ;   Entrou!
   2645578 ;       354 ;         W ;     90000 ;        ? ;   Entrou!
   2665645 ;       355 ;         E ;     20000 ;        ? ;   Cheio!
   2665717 ;       356 ;         E ;    100000 ;        ? ;   Cheio!
   2667248 ;       350 ;         S ;     40000 ;    21828 ; Saiu!
   2665757 ;       357 ;         W ;     60000 ;        ? ;   Cheio!
   2665783 ;       358 ;         E ;     30000 ;        ? ;   Cheio!
   2671371 ;       346 ;         N ;     70000 ;    66128 ; Saiu!
   2673287 ;       349 ;         N ;    100000 ;    27910 ; Saiu!
   2675830 ;       359 ;         N ;     70000 ;        ? ;   Entrou!
   2677378 ;       351 ;         N ;    100000 ;    31904 ; Saiu!
   2678144 ;       352 ;         N ;     90000 ;    32633 ; Saiu!
   2681008 ;       353 ;         W ;     80000 ;    35457 ; Saiu!
   2685856 ;       360 ;         N ;     60000 ;        ? ;   Entrou!
   2685878 ;       361 ;         W ;     60000 ;        ? ;   Entrou!
   2685892 ;       362 ;         W ;     20000 ;        ? ;   Entrou!
   2685907 ;       363 ;         N ;     90000 ;        ? ;   Entrou!
   2692017 ;       354 ;         W ;     90000 ;    46439 ; Saiu!
   2692674 ;       362 ;         W ;     20000 ;     6782 ; Saiu!
   2696314 ;       359 ;         N ;     70000 ;    20484 ; Saiu!
   2700634 ;       360 ;         N ;     60000 ;    14778 ; Saiu!
   2701840 ;       361 ;         W ;     60000 ;    15962 ; Saiu!
   2705961 ;       364 ;         W ;    100000 ;        ? ;   Entrou!
   2716001 ;       365 ;         E ;     20000 ;        ? ;   Entrou!
   2716046 ;       366 ;         W ;     10000 ;        ? ;   Entrou!
   2720023 ;       366 ;         W ;     10000 ;     3977 ; Saiu!
   2723083 ;       365 ;         E ;     20000 ;     7082 ; Saiu!
   2728259 ;       363 ;         N ;     90000 ;    42352 ; Saiu!
   2736104 ;       367 ;         S ;    100000 ;        ? ;   Entrou!
   2746138 ;       368 ;         E ;     90000 ;        ? ;   Entrou!
   2753038 ;       364 ;         W ;    100000 ;    47077 ; Saiu!
   2766177 ;       369 ;         E ;     90000 ;        ? ;   Entrou!
   2777686 ;       367 ;         S ;    100000 ;    41582 ; Saiu!
   2778261 ;       371 ;         W ;     60000 ;        ? ;   Entrou!
   2776222 ;       370 ;         W ;     30000 ;        ? ;   Entrou!
   2780945 ;       368 ;         E ;     90000 ;    34807 ; Saiu!
   2786634 ;       373 ;         S ;     40000 ;        ? ;   Entrou!
   2786270 ;       372 ;         E ;     60000 ;        ? ;   Entrou!
   2791840 ;       370 ;         W ;     30000 ;    15618 ; Saiu!
   2794099 ;       369 ;         E ;     90000 ;    27922 ; Saiu!
   2796141 ;       371 ;         W ;     60000 ;    17880 ; Saiu!
   2798889 ;       373 ;         S ;     40000 ;    12255 ; Saiu!
   2806316 ;       374 ;         E ;     90000 ;        ? ;   Entrou!
   2806410 ;       375 ;         W ;     50000 ;        ? ;   Entrou!
   2806468 ;       376 ;         S ;     30000 ;        ? ;   Entrou!
   2806594 ;       378 ;         N ;     20000 ;        ? ;   Entrou!
   2806713 ;       372 ;         E ;     60000 ;    20443 ; Saiu!
   2806666 ;       379 ;         S ;     20000 ;        ? ;   Entrou!
   2806534 ;       377 ;         S ;    100000 ;        ? ;   Entrou!
   2806765 ;       380 ;         N ;     70000 ;        ? ;   Entrou!
   2810988 ;       378 ;         N ;     20000 ;     4394 ; Saiu!
   2811006 ;       376 ;         S ;     30000 ;     4538 ; Saiu!
   2809983 ;       382 ;         W ;    100000 ;        ? ;   Entrou!
   2813632 ;       375 ;         W ;     50000 ;     7222 ; Saiu!
   2806785 ;       381 ;         E ;     20000 ;        ? ;   Entrou!
   2820006 ;       379 ;         S ;     20000 ;    13340 ; Saiu!
   2816824 ;       383 ;         W ;     80000 ;        ? ;   Entrou!
   2816839 ;       384 ;         S ;     60000 ;        ? ;   Entrou!
   2816853 ;       385 ;         S ;     20000 ;        ? ;   Cheio!
   2825203 ;       374 ;         E ;     90000 ;    18887 ; Saiu!
   2825219 ;       381 ;         E ;     20000 ;    18434 ; Saiu!
   2825245 ;       380 ;         N ;     70000 ;    18480 ; Saiu!
   2826334 ;       377 ;         S ;    100000 ;    19800 ; Saiu!
   2826885 ;       386 ;         S ;     90000 ;        ? ;   Entrou!
   2826921 ;       387 ;         E ;     60000 ;        ? ;   Entrou!
   2826960 ;       388 ;         S ;     20000 ;        ? ;   Entrou!
   2837972 ;       382 ;         W ;    100000 ;    27989 ; Saiu!
   2838003 ;       384 ;         S ;     60000 ;    21164 ; Saiu!
   2838097 ;       383 ;         W ;     80000 ;    21273 ; Saiu!
   2836987 ;       389 ;         N ;     50000 ;        ? ;   Entrou!
   2842108 ;       388 ;         S ;     20000 ;    15148 ; Saiu!
   2846991 ;       390 ;         W ;     50000 ;        ? ;   Entrou!
   2847877 ;       387 ;         E ;     60000 ;    20956 ; Saiu!
   2853844 ;       389 ;         N ;     50000 ;    16857 ; Saiu!
   2857045 ;       391 ;         W ;     70000 ;        ? ;   Entrou!
   2857989 ;       386 ;         S ;     90000 ;    31104 ; Saiu!
   2867693 ;       390 ;         W ;     50000 ;    20702 ; Saiu!
   2879092 ;       392 ;         E ;     80000 ;        ? ;   Entrou!
   2895864 ;       391 ;         W ;     70000 ;    38819 ; Saiu!
   2897115 ;       393 ;         N ;     70000 ;        ? ;   Entrou!
   2907145 ;       394 ;         S ;     70000 ;        ? ;   Entrou!
   2907178 ;       395 ;         S ;     80000 ;        ? ;   Entrou!
   2914100 ;       392 ;         E ;     80000 ;    35008 ; Saiu!
   2917202 ;       396 ;         E ;     50000 ;        ? ;   Entrou!
   2922479 ;       393 ;         N ;     70000 ;    25364 ; Saiu!
   2917246 ;       397 ;         E ;     60000 ;        ? ;   Entrou!
   2917307 ;       398 ;         N ;     10000 ;        ? ;   Entrou!
   2926402 ;       398 ;         N ;     10000 ;     9095 ; Saiu!
   2917465 ;       399 ;         E ;    100000 ;        ? ;   Entrou!
   2930098 ;       396 ;         E ;     50000 ;    12896 ; Saiu!
   2931136 ;       394 ;         S ;     70000 ;    23991 ; Saiu!
   2933787 ;       395 ;         S ;     80000 ;    26609 ; Saiu!
   2937383 ;       400 ;         S ;     10000 ;        ? ;   Entrou!
   2937447 ;       401 ;         N ;     80000 ;        ? ;   Entrou!
   2937481 ;       402 ;         W ;     60000 ;        ? ;   Entrou!
   2937517 ;       403 ;         N ;     20000 ;        ? ;   Entrou!
   2943487 ;       400 ;         S ;     10000 ;     6104 ; Saiu!
   2943502 ;       397 ;         E ;     60000 ;    26256 ; Saiu!
   2946683 ;       403 ;         N ;     20000 ;     9166 ; Saiu!
   2957545 ;       402 ;         W ;     60000 ;    20064 ; Saiu!
   2957581 ;       404 ;         W ;     20000 ;        ? ;   Entrou!
   2957858 ;       399 ;         E ;    100000 ;    40393 ; Saiu!
   2957917 ;       401 ;         N ;     80000 ;    20470 ; Saiu!
   2957997 ;       404 ;         W ;     20000 ;      416 ; Saiu!
